"design_condition_id","rep_tier","profile","ICC_y","J","nbar","ICC_x","rho_PV","M","leg","R","meanW","biasW","covW","covW_lo","covW_hi","meanB","biasB","covB","covB_lo","covB_hi","mcseW","mcseB"
"T4-c5","sensitivity","USA",0.2,100,20,0.15,0.95,5,"bayes_a",200,0.397002603045285,-0.00299739695471507,0.945,0.904213000830331,0.969014658434292,0.599782986162618,-0.000217013837382041,0.955,0.916703295616288,0.976147457114956,0.00195721030809553,0.0088271298474672
"T4-c5","sensitivity","USA",0.2,100,20,0.15,0.95,5,"freq_per_pv",200,0.397000397233122,-0.00299960276687838,0.945,0.904213000830331,0.969014658434292,0.599943094236109,-5.69057638906134e-05,0.945,0.904213000830331,0.969014658434292,0.00195686192477102,0.00883167990763596
"T4-c5","sensitivity","USA",0.2,100,20,0.15,0.95,5,"c_direct",200,0.396998572257063,-0.00300142774293743,0.93,0.885945190726093,0.957847828338599,0.600279085674463,0.000279085674463442,0.955,0.916703295616288,0.976147457114956,0.00195744253985295,0.0088025329789956
"T4-c5","sensitivity","USA",0.2,100,20,0.15,0.95,5,"oracle",200,0.4,0,1,0.981154673331037,1,0.6,0,1,0.981154673331037,1,0,0
"T4-c6","sensitivity","USA",0.2,100,20,0.15,0.95,10,"c_direct",200,0.400192065266862,0.00019206526686244,0.955,0.916703295616288,0.976147457114956,0.592687706438792,-0.00731229356120777,0.955,0.916703295616288,0.976147457114956,0.00167198001439536,0.00841302598886922
"T4-c6","sensitivity","USA",0.2,100,20,0.15,0.95,10,"bayes_a",200,0.400225685351854,0.000225685351853688,0.965,0.929529388113122,0.982944458084742,0.592876140319615,-0.00712385968038454,0.965,0.929529388113122,0.982944458084742,0.0016720487496942,0.0084387178666229
"T4-c6","sensitivity","USA",0.2,100,20,0.15,0.95,10,"freq_per_pv",200,0.400208685146285,0.000208685146284859,0.96,0.923067931425574,0.97959436803898,0.59295611333325,-0.00704388666674971,0.95,0.91042185147139,0.972617354526543,0.00167068454230776,0.0084330235749336
"T4-c6","sensitivity","USA",0.2,100,20,0.15,0.95,10,"oracle",200,0.4,0,1,0.981154673331037,1,0.6,0,1,0.981154673331037,1,0,0
"T4-c7","sensitivity","USA",0.2,100,20,0.15,0.95,20,"bayes_a",200,0.400861981671174,0.00086198167117435,0.945,0.904213000830331,0.969014658434292,0.582736698101509,-0.0172633018984908,0.96,0.923067931425574,0.97959436803898,0.00180527036374545,0.00899101716286593
"T4-c7","sensitivity","USA",0.2,100,20,0.15,0.95,20,"c_direct",200,0.400904082270563,0.00090408227056249,0.94,0.898068306637827,0.965347805893485,0.582471709470733,-0.0175282905292673,0.965,0.929529388113122,0.982944458084742,0.00180671080752622,0.00900773272667207
"T4-c7","sensitivity","USA",0.2,100,20,0.15,0.95,20,"oracle",200,0.4,0,1,0.981154673331037,1,0.6,0,1,0.981154673331037,1,0,0
"T4-c7","sensitivity","USA",0.2,100,20,0.15,0.95,20,"freq_per_pv",200,0.400856289154817,0.000856289154816836,0.945,0.904213000830331,0.969014658434292,0.582753673766639,-0.0172463262333613,0.96,0.923067931425574,0.97959436803898,0.00180567700972151,0.00898974636431529
"T5-c1","mainstream","KOR",0.45,100,20,0.3,0.9,10,"oracle",100,0.4,0,1,0.963006501231004,1,0.6,0,1,0.963006501231004,1,0,0
"T5-c1","mainstream","KOR",0.45,100,20,0.3,0.9,10,"c_direct",100,0.397951338951825,-0.00204866104817497,0.96,0.901629285015279,0.984336696117245,0.585962944664482,-0.0140370553355182,0.91,0.83773787077811,0.951927460231313,0.00291415735248572,0.0171811797634835
"T5-c1","mainstream","KOR",0.45,100,20,0.3,0.9,10,"freq_per_pv",100,0.397946643496518,-0.0020533565034816,0.97,0.915480635101425,0.989745476055719,0.585651347112392,-0.0143486528876077,0.91,0.83773787077811,0.951927460231313,0.00291587755021555,0.0172439047623758
"T5-c1","mainstream","KOR",0.45,100,20,0.3,0.9,10,"bayes_a",100,0.397932179415502,-0.00206782058449756,0.97,0.915480635101425,0.989745476055719,0.585594463994627,-0.0144055360053726,0.91,0.83773787077811,0.951927460231313,0.00291942334182264,0.0172266739086802
